drug_a,drug_b,combination,almanac_breast_median_combo_score,almanac_breast_mean_combo_score,almanac_breast_max_combo_score,almanac_breast_min_combo_score,almanac_breast_positive_line_fraction,almanac_breast_lines_tested,almanac_breast_cell_lines,almanac_breast_synergy_support,drug_a_has_patient_model,drug_b_has_patient_model,patient_specific_pair_tier
6 thioguanine,methotrexate,6 thioguanine + methotrexate,-33,-30.4,19,-89,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
actinomycin d,methotrexate,actinomycin d + methotrexate,-62,-56.2,-1,-84,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
chlorambucil,methotrexate,chlorambucil + methotrexate,-30,-19,49,-51,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
melphalan,methotrexate,melphalan + methotrexate,-25,-31.8,2,-87,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,triethylenemelamine,methotrexate + triethylenemelamine,-22,-20.6,11,-39,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
altretamine,methotrexate,altretamine + methotrexate,-11,-31,-6,-107,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
5-fluorouracil,methotrexate,5-fluorouracil + methotrexate,-32,-30.6,5,-64,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
methotrexate,mithramycin,methotrexate + mithramycin,-26,-11.8,34,-48,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
hydroxyurea,methotrexate,hydroxyurea + methotrexate,-39,-29.75,6,-47,0.25,4,BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,uracil mustard,methotrexate + uracil mustard,26,21,32,1,1,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.911640819452422,FALSE,FALSE,not_patient_scored
methotrexate,mitotane,methotrexate + mitotane,-44.5,-45,-6,-85,0,4,BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dacarbazine,methotrexate,dacarbazine + methotrexate,-22,-22.2,12,-64,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,vinblastine,methotrexate + vinblastine,-21,-16,16,-46,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
megestrol acetate,methotrexate,megestrol acetate + methotrexate,-68,-66.4,-35,-97,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lomustine,methotrexate,lomustine + methotrexate,-17,-18.4,21,-64,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
daunorubicin,methotrexate,daunorubicin + methotrexate,-25,-35.8,-8,-91,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
azacitidine,methotrexate,azacitidine + methotrexate,-26,-20.6,7,-31,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,teniposide,methotrexate + teniposide,-32,-40.8,-3,-86,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
doxorubicin,methotrexate,doxorubicin + methotrexate,3.5,-2,29,-44,0.5,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.779245644265748,TRUE,FALSE,tier_B_one_drug_patient_scored
bleomycin,methotrexate,bleomycin + methotrexate,-37,-48.2,18,-131,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
bendamustine,methotrexate,bendamustine + methotrexate,-41,-49.6,-23,-83,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
etoposide,methotrexate,etoposide + methotrexate,-31,-30,26,-117,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dexrazoxane,methotrexate,dexrazoxane + methotrexate,-3,-6.4,14,-40,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,rapamycin,methotrexate + rapamycin,-43.5,-33.3,35,-73,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
methotrexate,valrubicin,methotrexate + valrubicin,-3.5,-1.25,29,-27,0.5,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,mitoxantrone,methotrexate + mitoxantrone,-33,-27.8,18,-69,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,vinorelbine,methotrexate + vinorelbine,6,6,32,-13,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.802508137085966,FALSE,FALSE,not_patient_scored
docetaxel,methotrexate,docetaxel + methotrexate,-14,-13,35,-85,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
7 ethyl 10 hydroxycamptothecin,methotrexate,7 ethyl 10 hydroxycamptothecin + methotrexate,-48,-40.2,16,-79,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,pemetrexed,methotrexate + pemetrexed,6,-5.2,35,-42,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.802508137085966,FALSE,FALSE,not_patient_scored
methotrexate,vorinostat,methotrexate + vorinostat,7,-7.6,11,-64,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.810453762205629,FALSE,FALSE,not_patient_scored
exemestane,methotrexate,exemestane + methotrexate,16,5.4,48,-53,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.869519433275895,FALSE,FALSE,not_patient_scored
gefitinib,methotrexate,gefitinib + methotrexate,37,32.8,109,-25,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.941317250622248,FALSE,FALSE,not_patient_scored
fulvestrant,methotrexate,fulvestrant + methotrexate,-37,-21.4,39,-43,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
anastrozole,methotrexate,anastrozole + methotrexate,-43,-12.25,94,-57,0.25,4,BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
letrozole,methotrexate,letrozole + methotrexate,31,46,216,-80,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.926287574191078,FALSE,FALSE,not_patient_scored
methotrexate,zoledronate,methotrexate + zoledronate,-25,-8,58,-37,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
dasatinib,methotrexate,dasatinib + methotrexate,-6,-13.6,-1,-31,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
everolimus,methotrexate,everolimus + methotrexate,-8,-10.75,35,-62,0.5,4,BR:BT-549;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,pazopanib,methotrexate + pazopanib,-15,-25.4,10,-81,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lapatinib,methotrexate,lapatinib + methotrexate,-18,-24.8,1,-74,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
methotrexate,sorafenib,methotrexate + sorafenib,-40,-35.2,55,-91,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
lenalidomide,methotrexate,lenalidomide + methotrexate,12,-0.8,14,-47,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.847118514263833,FALSE,FALSE,not_patient_scored
methotrexate,raloxifene,methotrexate + raloxifene,-77,-67,-7,-118,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
abiraterone,methotrexate,abiraterone + methotrexate,-31,-40.8,-21,-90,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,sunitinib,methotrexate + sunitinib,-22,-20.6,-11,-31,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,vemurafenib,methotrexate + vemurafenib,-30,-30.6,19,-78,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
depsipeptide,methotrexate,depsipeptide + methotrexate,-41,-42.2,-28,-60,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,pralatrexate,methotrexate + pralatrexate,31,19.4,88,-70,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.926287574191078,FALSE,FALSE,not_patient_scored
methotrexate,vismodegib,methotrexate + vismodegib,-16,-19.8,42,-94,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
crizotinib,methotrexate,crizotinib + methotrexate,-49,-64.4,-33,-149,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
axitinib,methotrexate,axitinib + methotrexate,-45,-51.2,-23,-89,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,vandetanib,methotrexate + vandetanib,-42,-45.8,-9,-117,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
cabazitaxel,methotrexate,cabazitaxel + methotrexate,-31,-44.4,-14,-90,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
methotrexate,ruxolitinib,methotrexate + ruxolitinib,-44,-56.8,-14,-122,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,methotrexate,busulfan + methotrexate,-35,-45.8,16,-131,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
6 thioguanine,busulfan,6 thioguanine + busulfan,-32,-33.4,2,-81,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
6 mercaptopurine,busulfan,6 mercaptopurine + busulfan,3,-1.4,34,-46,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.775895079456251,FALSE,FALSE,not_patient_scored
busulfan,nitrogen mustard,busulfan + nitrogen mustard,-15,-2.6,33,-38,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
actinomycin d,busulfan,actinomycin d + busulfan,-5.5,-3,65,-66,0.5,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,chlorambucil,busulfan + chlorambucil,-51,-44.8,-10,-90,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,thiotepa,busulfan + thiotepa,-19,-20,15,-49,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,melphalan,busulfan + melphalan,11,-4.6,30,-77,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.841853340991767,FALSE,FALSE,not_patient_scored
busulfan,triethylenemelamine,busulfan + triethylenemelamine,-41,-40,-8,-75,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
altretamine,busulfan,altretamine + busulfan,-51,-46,-16,-79,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
aminolevulinic acid,busulfan,aminolevulinic acid + busulfan,-10,-6,38,-40,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
5-fluorouracil,busulfan,5-fluorouracil + busulfan,-15,-7.8,20,-44,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,TRUE,FALSE,tier_B_one_drug_patient_scored
busulfan,mithramycin,busulfan + mithramycin,2,2,40,-42,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.768140915182845,FALSE,FALSE,not_patient_scored
busulfan,pipobroman,busulfan + pipobroman,-9,-12.6,18,-33,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,floxuridine,busulfan + floxuridine,15,-4,26,-81,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.864541451273215,FALSE,FALSE,not_patient_scored
busulfan,hydroxyurea,busulfan + hydroxyurea,-10,-11.8,32,-84,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,uracil mustard,busulfan + uracil mustard,-28,-29.6,-5,-56,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,mitotane,busulfan + mitotane,-18,-12.8,31,-49,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,dacarbazine,busulfan + dacarbazine,-30,-39.8,-21,-72,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,vinblastine,busulfan + vinblastine,4,-2.6,21,-53,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.783553513306529,FALSE,FALSE,not_patient_scored
busulfan,cytarabine,busulfan + cytarabine,-7,-9.8,28,-41,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,vincristine,busulfan + vincristine,-21,-22.4,38,-97,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,megestrol acetate,busulfan + megestrol acetate,-89,-87,-16,-173,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,lomustine,busulfan + lomustine,-36,-29.4,20,-64,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,daunorubicin,busulfan + daunorubicin,-9,27.6666666666667,129,-37,0.333333333333333,3,BR:HS 578T;BR:MCF7;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
azacitidine,busulfan,azacitidine + busulfan,-33,-18.6,14,-44,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,cladribine,busulfan + cladribine,-36,-38.4,16,-103,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,fludarabine,busulfan + fludarabine,-49,-45.8,-4,-79,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,isotretinoin,busulfan + isotretinoin,7,0.4,36,-58,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.810453762205629,FALSE,FALSE,not_patient_scored
busulfan,teniposide,busulfan + teniposide,-19,-1.8,40,-24,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,doxorubicin,busulfan + doxorubicin,-25,-18,37,-53,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
bleomycin,busulfan,bleomycin + busulfan,-39,-35.8,-24,-48,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,paclitaxel,busulfan + paclitaxel,-31,-38,5,-95,0.25,4,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
bendamustine,busulfan,bendamustine + busulfan,5,-20,26,-92,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.793030825196247,FALSE,FALSE,not_patient_scored
busulfan,etoposide,busulfan + etoposide,-15,-21,-1,-59,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,dexrazoxane,busulfan + dexrazoxane,-16,-2.8,44,-28,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,tamoxifen,busulfan + tamoxifen,-22,-24.6,-21,-31,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,rapamycin,busulfan + rapamycin,-21,-15,34,-57,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
busulfan,carboplatin,busulfan + carboplatin,-8,-11.2,0,-26,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,valrubicin,busulfan + valrubicin,-46,-51.8,61,-218,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,mitoxantrone,busulfan + mitoxantrone,-9,-17.6,28,-67,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,temozolomide,busulfan + temozolomide,-10,-12.2,26,-59,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,clofarabine,busulfan + clofarabine,-10,-25,12,-76,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,vinorelbine,busulfan + vinorelbine,-5,-7.6,7,-23,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,gemcitabine,busulfan + gemcitabine,-34,-38,2,-78,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
busulfan,docetaxel,busulfan + docetaxel,-34,-19.2,85,-87,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
7 ethyl 10 hydroxycamptothecin,busulfan,7 ethyl 10 hydroxycamptothecin + busulfan,26,7.6,43,-49,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.911640819452422,FALSE,FALSE,not_patient_scored
busulfan,nelarabine,busulfan + nelarabine,-8,-18.6,33,-72,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,pemetrexed,busulfan + pemetrexed,-13,-6.6,30,-41,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,vorinostat,busulfan + vorinostat,-48,-50.2,6,-128,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,capecitabine,busulfan + capecitabine,-52,-37.8,42,-80,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,exemestane,busulfan + exemestane,-14,-1.8,48,-30,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,gefitinib,busulfan + gefitinib,2,11.4,37,-19,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.768140915182845,FALSE,FALSE,not_patient_scored
busulfan,letrozole,busulfan + letrozole,10,14,42,-3,0.8,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.835343672219031,FALSE,FALSE,not_patient_scored
busulfan,celecoxib,busulfan + celecoxib,-25,-30.8,-9,-66,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,zoledronate,busulfan + zoledronate,-53,-59.6,-25,-103,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,dasatinib,busulfan + dasatinib,-33,-35,-15,-58,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,everolimus,busulfan + everolimus,-17,-38,-13,-86,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,pazopanib,busulfan + pazopanib,-40,-38.8,-13,-57,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,imatinib,busulfan + imatinib,-54,-52.4,0,-118,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,lapatinib,busulfan + lapatinib,10,3.6,33,-32,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.835343672219031,FALSE,TRUE,tier_B_one_drug_patient_scored
busulfan,nilotinib,busulfan + nilotinib,-36,-28.2,19,-58,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,sorafenib,busulfan + sorafenib,-91,-94.4,-25,-166,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,lenalidomide,busulfan + lenalidomide,17,7,31,-40,0.6,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.874114493586062,FALSE,FALSE,not_patient_scored
busulfan,raloxifene,busulfan + raloxifene,-67,-79,-30,-174,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
abiraterone,busulfan,abiraterone + busulfan,-37,-37.6,0,-76,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
busulfan,sunitinib,busulfan + sunitinib,-52,-59,-23,-110,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
