drug_a,drug_b,combination,almanac_breast_median_combo_score,almanac_breast_mean_combo_score,almanac_breast_max_combo_score,almanac_breast_min_combo_score,almanac_breast_positive_line_fraction,almanac_breast_lines_tested,almanac_breast_cell_lines,almanac_breast_synergy_support,drug_a_has_patient_model,drug_b_has_patient_model,patient_specific_pair_tier
arsenic trioxide,megestrol acetate,arsenic trioxide + megestrol acetate,-5,-45.2,48,-158,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,procarbazine,arsenic trioxide + procarbazine,-24,-41.6666666666667,-21,-80,0,3,BR:HS 578T;BR:MCF7;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,lomustine,arsenic trioxide + lomustine,-165,-140.8,-85,-178,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,daunorubicin,arsenic trioxide + daunorubicin,-111,-132.8,-45,-222,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,streptozocin,arsenic trioxide + streptozocin,-106,-112.8,-53,-185,0,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,azacitidine,arsenic trioxide + azacitidine,-29,-21.2,39,-55,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,cladribine,arsenic trioxide + cladribine,-29,-34.6,54,-95,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,ifosfamide,arsenic trioxide + ifosfamide,-17,-14.2,63,-89,0.2,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,fludarabine,arsenic trioxide + fludarabine,-5,1.4,33,-39,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,FALSE,not_patient_scored
arsenic trioxide,cisplatin,arsenic trioxide + cisplatin,-51,-45.6,109,-250,0.4,5,BR:BT-549;BR:HS 578T;BR:MCF7;BR:MDA-MB-231;BR:T-47D,0.378230901780586,FALSE,TRUE,tier_B_one_drug_patient_scored
